Subject,Code,,Event Type,Time,TTime,Condition,Decisions,Outcomes,Reaction Time,Stimuli_Order,High_Reward_Chosen,High_Loss_Chosen
LN_VTA_1,trial_44_rew_15_f1_f2_acum_r6_l5_task_1_sess_3,,Picture,[9122.60119259],[0],1,2,0,1.114547329,f1_f2,0,
LN_VTA_1,trial_45_los_15_f2_f1_acum_r6_l5_task_1_sess_3,,Picture,[9135.10280981],[0],2,2,-1,1.129707829,f2_f1,,1
LN_VTA_1,trial_46_neu_16_f1_f2_acum_r6_l6_task_1_sess_3,,Picture,[9146.35591966],[0],3,2,0,0.566936019,f1_f2,,
LN_VTA_1,trial_47_rew_16_f2_f1_acum_r6_l6_task_1_sess_3,,Picture,[9156.36068978],[0],1,2,1,0.56461919,f2_f1,1,
LN_VTA_1,trial_48_los_16_f1_f2_acum_r7_l6_task_1_sess_3,,Picture,[9168.86227659],[0],2,2,-1,0.643839345,f1_f2,,0
LN_VTA_1,trial_49_los_17_f1_f2_acum_r7_l7_task_1_sess_3,,Picture,[9180.11543738],[0],2,1,0,0.79982104,f1_f2,,1
LN_VTA_1,trial_50_rew_17_f2_f1_acum_r7_l7_task_1_sess_3,,Picture,[9190.12005887],[0],1,1,0,0.85859247,f2_f1,0,
LN_VTA_1,trial_51_neu_17_f1_f2_acum_r7_l7_task_1_sess_3,,Picture,[9202.62172817],[0],3,2,0,0.877539722,f1_f2,,
LN_VTA_1,trial_52_neu_18_f2_f1_acum_r7_l7_task_1_sess_3,,Picture,[9212.6263546],[0],3,1,0,0.828281734,f2_f1,,
LN_VTA_1,trial_53_rew_18_f1_f2_acum_r7_l7_task_1_sess_3,,Picture,[9223.87953744],[0],1,2,0,1.1934708,f1_f2,0,
LN_VTA_1,trial_54_neu_19_f1_f2_acum_r7_l7_task_1_sess_3,,Picture,[9233.88418668],[0],3,2,0,1.461549193,f1_f2,,
LN_VTA_1,trial_56_neu_20_f2_f1_acum_r7_l7_task_1_sess_3,,Picture,[9261.40117404],[0],3,2,0,0.731428592,f2_f1,,
LN_VTA_1,trial_57_los_18_f2_f1_acum_r7_l7_task_1_sess_3,,Picture,[9275.15130356],[0],2,1,0,0.673202823,f2_f1,,0
LN_VTA_1,trial_58_los_19_f1_f2_acum_r7_l7_task_1_sess_3,,Picture,[9285.15596117],[0],2,1,-1,0.868658797,f1_f2,,1
LN_VTA_1,trial_59_los_20_f2_f1_acum_r7_l8_task_1_sess_3,,Picture,[9295.14411094],[0],2,2,-1,1.173348219,f2_f1,,1
LN_VTA_1,trial_60_rew_20_f1_f2_acum_r7_l9_task_1_sess_3,,Picture,[9307.66226868],[0],1,2,1,0.650576965,f1_f2,0,
LN_VTA_1,trial_1_rew_1_f2_f1_acum_r0_l0_task_1_sess_4,,Picture,[9422.17487288],[0],1,1,1,1.381132802,f2_f1,0,
LN_VTA_1,trial_2_neu_1_f1_f2_acum_r1_l0_task_1_sess_4,,Picture,[9433.42800972],[0],3,2,0,1.003292026,f1_f2,,
LN_VTA_1,trial_3_los_1_f2_f1_acum_r1_l0_task_1_sess_4,,Picture,[9444.68107092],[0],2,2,-1,1.049739409,f2_f1,,1
LN_VTA_1,trial_4_neu_2_f1_f2_acum_r1_l1_task_1_sess_4,,Picture,[9454.66906218],[0],3,1,0,0.969943374,f1_f2,,
LN_VTA_1,trial_5_neu_3_f2_f1_acum_r1_l1_task_1_sess_4,,Picture,[9464.6737004],[0],3,2,0,1.055213701,f2_f1,,
